name,state,latitude,longitude
Arby's,Indiana,40.756725,-85.165264
McDonald's,Virginia,38.356792,-78.925964
Checkers,Florida,26.272905,-80.259203
McDonald's,Arizona,33.46536,-112.27463
Taco Bell,Texas,29.689648,-95.555955
Firehouse Subs,Nevada,36.15761,-115.313484
Taco Bell,Michigan,42.231619,-83.386286
KFC,Ohio,39.2529,-84.5987
Carl's Jr.,California,33.788937998,-117.959952265
Wendy's,Virginia,38.23403,-77.50437
Domino's Pizza,Colorado,39.6241,-105.108
Domino's Pizza,Colorado,39.624195,-105.10908
McDonald's,Kentucky,38.263957,-85.575526
McDonald's,Colorado,39.87583,-104.98364
McDonald's,Alabama,30.67128,-88.27654
McDonald's,Arizona,34.15064,-114.2887
McDonald's,California,36.619008,-121.843904
Burger King,Oregon,45.504448,-122.435513
Wendy's,Massachusetts,42.68871,-71.14764
Domino's Pizza,New Jersey,41.14759,-74.57374
Domino's Pizza,New Jersey,41.17586,-74.58964
McDonald's,Oklahoma,35.47151,-95.53714
Domino's Pizza,New York,40.7297958,-74.0099925
McDonald's,South Carolina,34.9858,-81.2119
Hardee's,Georgia,31.94934,-81.3123
Burger King,Michigan,42.368993,-83.138806
Domino's Pizza,Utah,37.09089,-113.58502
Arby's,Virginia,38.225912,-77.503549
McDonald's,Texas,32.5628,-97.3172
Wendy's,Michigan,42.23347,-83.32715
Wendy's,New Mexico,35.53595,-108.75936
Taco Bell,Vermont,44.44642,-72.01625
Domino's Pizza,Arizona,33.6379266,-112.2717309
McDonald's,Indiana,40.755933,-85.166716
Bojangles,North Carolina,35.821937,-79.823173
Domino's Pizza,Arizona,33.5969,-112.27175
McDonald's,Colorado,39.80238,-105.10743
Burger King,Georgia,32.59495,-83.58338
Jack in the Box,Texas,30.185791,-97.847931
Jimmy John's,Missouri,38.72449,-90.69746
McDonald's,Wisconsin,43.24966,-89.37528
Papa Johns,Florida,25.07903,-80.458015
Chick-fil-A,Texas,29.5238,-98.6061
Pei Wei,Texas,30.635277,-96.324455
Wendy's,Pennsylvania,41.236486,-75.855773
KFC,Florida,26.6924,-80.1117
McDonald's,Kentucky,37.093135,-85.303694
Domino's Pizza,Maine,43.6297,-70.2718
Sonic Drive-In,Arkansas,35.2228,-92.3877
McDonald's,New Jersey,40.01413,-74.31119
McDonald's,Alabama,30.879082,-87.783995
McDonald's,Virginia,38.4432,-78.8578
McDonald's,New Jersey,40.460466474,-74.466512203
Baja Fresh Mexican Grill,California,33.45600682,-117.604597806
Taco Bell,Missouri,38.721499,-90.369526
McDonald's,Michigan,42.23306,-83.38503
Slim Chickens,Texas,33.15897,-96.83929
Taco Bell,North Carolina,35.822361,-79.823223
Burger King,Georgia,31.8613,-81.61078
McDonald's,California,33.7470368,-118.3095161
Carl's Jr.,California,34.133148,-117.592376543
Pizza Hut,Colorado,39.698997,-105.025463
Travelcenters of America,New Jersey,40.659239693,-75.074931485
Bojangles,North Carolina,35.613199,-80.520824
Wendy's,Georgia,33.371662,-84.56751
Taco Bell,Oklahoma,35.49706,-97.74214
Wendy's,California,34.090115,-118.054376
White Castle,Ohio,39.2485,-84.5959
Taco Bell,Connecticut,41.56768,-73.00726
Ivar's Seafood Bar,Washington,48.08414,-122.173017
McDonald's,Indiana,39.92842,-85.91918
Wendy's,Missouri,38.80078,-90.73469
McDonald's,Missouri,39.2679,-94.451
McDonald's,Missouri,39.26973,-94.45031
Chick-fil-A,Pennsylvania,39.94021,-77.62872
B Z Breakfast Burgers Beyond,Rhode Island,41.91538,-71.51865
Sonic Drive-In,Wyoming,41.57827,-109.25005
Dairy Queen,Missouri,38.79998936,90.73405594
Sonic Drive-In,Virginia,36.81034,-76.2195
McDonald's,Ohio,39.24698,-84.59638
Burger King,Florida,25.733406,-80.351262
Jimmy John's,Minnesota,45.132636,-93.357676
Popeyes,Virginia,38.864138491,-77.2777462
Subway,Minnesota,45.06941,-93.40305
KFC,Florida,25.76597,-80.21029
Arby's,Alabama,33.997601,-86.093752
McDonald's,New York,40.76093,-73.96743
Subway,Louisiana,29.824376,-90.006011
Rally's,Missouri,38.72914,-90.34394
Wienerschnitzel,New Mexico,35.109016,-106.5338
Burger King,New Jersey,40.4697,-74.4698
Taco Bell,Texas,32.76219,-97.48282
McDonald's,Washington,47.516962,-122.31536
Subway,West Virginia,40.07798,-80.6904
McDonald's,North Carolina,35.1363,-80.7137
McDonald's,Louisiana,29.956277,-90.217056
Burger King,California,33.949015,-118.386295
McDonald's,Illinois,40.87313,-88.64309
McDonald's,Pennsylvania,40.77117,-76.23731
Taco Bell,Illinois,41.972363,-88.20698
Waffle House,South Carolina,32.99678,-80.18193
Dunkin',Connecticut,41.28642261,-72.881176471
Del Taco,Utah,40.52626127,-111.887544393
Domino's Pizza,Colorado,39.8706,-105.025
In-N-Out,Arizona,33.50804,-112.26632
Subway,Utah,40.57749,-111.87207
Taco Bell,South Carolina,35.10611,-81.20958
Subway,Washington,48.50665,-122.33746
Wendy's,Virginia,36.75443,-76.24767
KFC,Kansas,38.955,-94.7237
Subway,New York,40.730146,-73.863017
Subway,Colorado,39.59512,-104.87777
Domino's Pizza,New Mexico,35.05507,-106.73832
Boston Market,North Carolina,35.13647,-80.71567
Burger King,California,36.20409,-119.10427
Burger King,Florida,25.759621,-80.367717
Taco Bell,Utah,41.49113,-112.01555
Meatheads,Illinois,42.278492,-87.87174
Del Taco,California,33.8468,-117.9237
Whataburger,Texas,32.776688,-97.289947
Domino's Pizza,California,34.41199,-119.85745
Burger King,South Carolina,32.994711,-80.187183
Wendy's,Pennsylvania,40.4811,-78.017075
Subway,West Virginia,39.42967,-80.18469
Popeyes Louisiana Kitchen,Georgia,33.723988,-84.76282
Arby's,Arizona,33.433998,-111.864915
McDonald's,Virginia,36.681278,-80.894596
Burger King,Alabama,33.59672,-86.69415
Dairy Queen,Pennsylvania,40.32349,-79.70007
Papa Johns Pizza,Colorado,39.80236,-105.10414
Subway,Virginia,38.7507,-77.44948
Hardee's,Maryland,38.453591113,-75.558200638
Elevation Burger,Virginia,38.843112,-77.272813
Wendy's,Florida,30.19693,-81.82391
Wendy's,Florida,26.723657,-80.080533
Taco Bell,Indiana,40.16249,-84.96537
Good Times Burgers & Frozen Custard,Colorado,39.74666,-104.9941
McDonald's,Nebraska,41.165091622,-96.138105847
Pita Pit,Georgia,33.78006,-84.38811
McDonald's,New York,42.34546,-77.6668
Subway,New Jersey,39.97428,-74.24104
Subway,Oklahoma,35.49269,-97.49486
McDonald's,Hawaii,21.4677,-158.00181
Jersey Mike's Subs,Hawaii,21.45311,-158.01738
Burger King,North Carolina,34.74447,-77.37977
Jimmy John's,Michigan,42.33303,-83.04571
KFC,Utah,41.739,-111.8323
Chick-fil-A,Ohio,39.24411,-84.59499
Burger King,Ohio,39.336855,-82.067974
Wendy's,West Virginia,39.4767,-80.1217
KFC,Kentucky,38.28666,-85.57583
Subway,Iowa,41.03808,-95.74762
Arby's,Virginia,36.842598,-81.50504
Subway,California,33.97524,-118.358317
McDonald's,Texas,29.67614,-95.56073
Burger King,Kansas,38.957609,-94.724354
Hardee's,Illinois,39.606653,-90.82158
Popeyes Louisiana Kitchen,Arizona,35.1913,-114.0691
Bojangles,South Carolina,34.985342,-81.215627
Waffle House,North Carolina,35.555,-77.0592
Taco Time,Oregon,45.457027,-122.713696
McDonald's,Texas,30.008411742,-95.283793659
McDonald's,Maryland,38.76068,-76.80699
McDonald's,Pennsylvania,41.00512,-76.43655
Taco Bell,Ohio,39.243163,-84.595134
McDonald's,Florida,28.3316,-82.6584
Tropical Smoothie Cafe,Nevada,36.1445,-115.30074
McDonald's,California,32.89342,-117.20165
Chipotle Mexican Grill,Arizona,33.43839,-112.55862
McDonald's,Ohio,41.2421,-81.354
McDonald's,California,34.063122,-118.064043
Burger King,Michigan,44.335818,-84.811414
Boston Market,Ohio,39.29121,-84.30123
Burger King,Delaware,38.92997,-75.431535
McDonald's,Georgia,34.67815,-84.47863
Burger King,Ohio,39.24261,-84.59515
Waffle House,Florida,26.547153,-81.80055
Arby's,Oklahoma,36.06134,-95.87091
Taco Bell,Arizona,32.191317,-110.791782
Taco Bell,Idaho,42.892179,-112.451453
Jack in the Box,Washington,48.50922,-122.33873
Bad Daddys Burger Bar,North Carolina,35.9031,-78.60355
Domino's Pizza,Kentucky,37.09317,-85.30371
McDonald's,Indiana,39.64507,-86.845712
Subway,Wisconsin,44.941036,-92.373015
Loco Moco Drive-Inn,Hawaii,21.398203,-158.01242
Subway,Hawaii,21.427263,-158.00114
Wendy's,Nevada,36.018726,-115.1191
Taco Bell,Alabama,30.42332,-89.09179
Burger King,Louisiana,29.681836929,-91.269223988
Dominos Pizza,Ohio,40.77965,-82.39101
McDonald's,Pennsylvania,40.0169,-79.0787
McDonald's,Pennsylvania,40.01668,-79.07827
Jimmy John's,South Dakota,44.88916,-97.06827
Subway,Nevada,36.11493,-115.29577
Five Guys,Maryland,39.4091,-76.6091
McDonald's,Texas,29.48467,-98.66711
Dunkin',New York,40.606884,-73.96269
Taco Bell,Missouri,38.674585239,-90.371614856
White Castle,Minnesota,45.14086,-93.23422
Penn Station East Coast Subs,Virginia,37.637938,-77.553376
McDonald's,North Carolina,35.16361,-80.96889
SONIC Drive In,Louisiana,32.8578,-93.9854
Domino's Pizza,New Mexico,36.00475,-106.06426
Jack in the Box,Arizona,36.90365,-111.48396
Burger King,New Jersey,39.97638,-74.13836
Cinnabon,California,34.241502,-118.555259
Quiznos,Arizona,33.58091,-111.88114
Wendy's,Florida,26.547327,-81.80159
Whataburger,Texas,30.16525,-97.78887
KFC,Virginia,37.4985,-77.5689
Wendy's,Pennsylvania,40.314814,-75.942356
Wendy's,Washington,46.279312,-119.27369
Wendy's,Ohio,39.33684,-82.06648
Carl's Jr.,California,38.722706,-120.831145
Whataburger,Texas,29.36778,-98.1564
Dairy Queen,California,38.034228,121.337911
Wendy's,California,32.831965,-117.129517
Wendy's,Idaho,42.891976,-112.451452
Arctic Circle,Utah,41.1686,-111.9622
Taco Bell,Georgia,33.98788,-83.98449
McDonald's,Michigan,42.2382,-83.327794
Taco Bell,Ohio,39.228109,-84.394045
Burger King,Nebraska,40.60045,-98.39294
McDonald's,Pennsylvania,39.942399,-75.591395
Burger King,Iowa,42.71717,-92.47552
McDonald's,Maryland,39.119447364,-76.850651759
McDonald's,New Jersey,39.279119,-74.577318
Subway,South Dakota,43.76818,-103.59313
Burger King,Maryland,39.408631,-76.608049
Wendy's,Oregon,43.35924,-124.21348
Taco Bell,Texas,25.9423,-97.5328
KFC,New York,43.20771,-77.46552
Jack in the Box,Texas,32.82352,-96.920472
Taco Bell,Indiana,38.56737,-86.46485
SONIC Drive In,South Carolina,34.4561,-81.8794
Checkers,Michigan,42.23829,-83.32703
Rally's Hamburgers,Michigan,42.23829,-83.32703
Subway,Colorado,39.54805,-104.99207
White Castle,Kentucky,37.001075,-85.924763
Wendy's,California,38.782932,-121.286869
Burger King,North Dakota,46.2645,-96.61381
Jimmy John's,Ohio,39.32267,-84.43059
White Castle,Ohio,39.201,-84.5213
Taco Bell,Iowa,41.01352,-92.43887
McDonald's,Texas,28.968978946,-95.370853199
Burger King,Indiana,39.842311,-85.558075
Arby's,North Carolina,35.897974,-78.726634
McDonald's,Florida,26.1932,-80.2733
McDonald's,South Dakota,43.60502,-96.57156
Wendy's,South Carolina,32.24553,-80.97804
Panda Express,California,32.830866,-117.130631
Hardee's,Virginia,37.563,-77.4695
Arby's,Indiana,40.17249,-84.96496
Domino's Pizza,New York,40.8418,-73.8837
KFC,Arkansas,34.12016,-93.05733
McDonald's,Florida,27.8472,-82.3537
Burger King,Florida,25.684879,-80.312689
McDonald's,Arkansas,35.296049,-94.387805
McDonald's,Nevada,36.80333,-114.0992
Wendy's,Illinois,38.5295,-89.1479
Wendy's,Arizona,35.191639,-114.069771
McDonald's,Oklahoma,36.11626,-97.07018
Burger King,Michigan,44.67377,-85.65734
McDonald's,Missouri,39.00861,-94.27676
Taco Bell,Wisconsin,42.851714,-88.324009
Subway,South Dakota,42.786621,-96.918727
Burger King,Michigan,45.370095,-84.974825
KFC,New Jersey,40.5925,-74.2909
McDonald's,Alabama,33.601748574,-85.836473342
Burger King,Wyoming,42.04835,-104.96275
Wendy's,Tennessee,35.06626,-89.75665
McDonald's,Ohio,39.20135,-84.52084
Jack in the Box,California,35.60541,-117.67334
Mr. Hero,Ohio,41.416894,-82.208865
Wienerschnitzel,California,37.310007,-121.914128
Domino's Pizza,Mississippi,33.5074,-90.1934
SONIC Drive In,Arkansas,35.9073,-92.6591
Arby's,Iowa,42.490124,-96.398269
McDonald's,Missouri,39.237501,-94.433707
Taco Bell,Illinois,38.357516,-90.154486
McDonald's,Ohio,41.892225,-80.805452
Domino's Pizza,New Mexico,34.06673,-106.8929
Bojangles,North Carolina,35.162468,-83.392228
McDonald's,Ohio,39.32535,-84.43327
Burger King,North Carolina,34.80965,-78.98403
Jack in the Box,Texas,25.932309,-97.49378
McDonald's,Virginia,36.71719,-78.11745
Burger King,Alabama,33.95496,-86.46684
McDonald's,Pennsylvania,41.300125,-75.857001
Burger King,Iowa,42.07128,-94.87785
Burger King,Iowa,42.071424751,-94.877916551
McDonald's,Iowa,43.29087,-91.79683
Integrated Therapy Specialists: Arnold D Larson,Iowa,43.2915,-91.7971
Taco Bell,Oregon,45.2254,-123.1887
Sonic Drive-In,Louisiana,30.68993,-91.46859
Burger King,Indiana,38.315664,-85.759411
Burger King,Pennsylvania,40.10976,-76.48087
McDonald's,Arizona,33.53856,-111.88385
Hardee's,Missouri,39.237306739,-94.434857594
Dairy Queen,Kentucky,36.756155,-88.64036
Taco Bell,New Mexico,35.52996,-108.73004
Church's Chicken,Michigan,42.3652,-83.1305
Bojangles,Georgia,33.529248,-84.659912
Wendy's,Michigan,42.259426,-84.428152
Hardee's,North Carolina,35.6023,-77.398
Jimmy John's,Utah,40.62232,-111.865326
Subway,Florida,25.00283,-80.52476
McDonald's,Arizona,33.47989,-112.25593
Taco Bell,Indiana,39.76434,-86.32391
McDonald's,Iowa,42.0715,-94.8767
Wendy's,Ohio,39.21621,-84.51867
Taco Bell,Indiana,39.30632,-85.21697
Hardee's,Tennessee,35.856238,-86.403573
Chick-fil-A,Louisiana,30.44499,-90.082
McDonald's,Georgia,33.9484687,-83.751590251
Domino's Pizza,South Dakota,44.8899,-97.1091
Wendy's,Virginia,37.637388,-77.551026
Culver's,Tennessee,35.912247,-84.08444
Whataburger,Texas,30.16614618,-97.787981629
Panda Express,Arizona,33.56917,-112.18562
Hardee's,Florida,30.352876597,-81.550577076
McDonald's,Illinois,39.11037,-90.31933
McDonald's,Indiana,40.17216,-84.9658
Burger King,Texas,27.51565,-97.857426
The People Connection,Texas,32.917074,-96.74491
McDonald's,Maryland,39.18476,-77.18903
Subway,Connecticut,41.565459,-73.008468
McDonald's,Louisiana,32.80428,-93.05512
Pizza Hut,Arkansas,35.2175,-94.27069
Burger King,Alabama,30.39611,-87.6839
KFC,North Carolina,35.991627,-78.868169
Arby's,South Carolina,34.7303,-80.7768
Wendy's,North Carolina,35.9472,-78.9229
Subway,New Jersey,39.963954,-74.187519
McDonald's,West Virginia,39.47366,-80.15249
Arby's,Kansas,38.08703,-97.91149
Burger King,Ohio,40.86153,-82.32442
Subway,Pennsylvania,39.94969,-75.15566
Subway,Iowa,41.77486,-91.12799
Jack in the Box,Missouri,38.79953,-90.734
McDonald's,Utah,41.17736,-112.00142
Jack in the Box,Texas,29.770076,-95.409761
Dairy Queen,Nevada,36.16125,-115.24393
Arby's,Missouri,38.7669,-90.7839
McDonald's,Indiana,37.986511,-87.600334
Hardee's,Mississippi,33.980385,-88.47658
McDonald's,Washington,46.977,-123.8059
Subway,South Carolina,34.493329108,-81.982426643
Wendy's,New Hampshire,43.218703,-70.883713
KFC,Ohio,39.29201,-84.31007
McDonald's,Florida,26.8962,-82.00673
Burger King,Texas,33.055499,-97.015651
Arby's,Arkansas,36.17601,-94.13946
Taco Bell,Texas,31.05988,-98.18056
McDonald's,Texas,26.09105,-97.1643
Long John Silver's,Pennsylvania,39.97939,-76.75254
McDonald's,Texas,33.231770325,-97.596446718
Domino's Pizza,Oklahoma,34.7827,-96.6493
Burger King,South Dakota,45.45868,-98.47411
Taco Bell,South Carolina,34.36107,-80.06728
Taco Bell,Ohio,39.292092,-84.310686
Burger King,Ohio,39.2908,-84.3054
Arby's,Ohio,39.191253,-84.254849
Wendy's,Louisiana,31.1351,-93.265
Wendy's,Mississippi,34.672,-88.5623
McDonald's,Illinois,38.51741,-89.94901
Jack in the Box,Idaho,43.61985,-116.29537
Qdoba Mexican Grill,Maryland,39.27738,-76.82457
Burger King,Illinois,39.72263,-90.24358
Church's Chicken,Texas,30.0928,-95.6247
McDonald's,North Carolina,34.69765,-77.14086
McDonald's,Tennessee,35.13782,-90.03158
KFC,Kentucky,38.37882,-84.30943
Taco Bell,Kentucky,38.37882,-84.30943
Arby's,Tennessee,35.69673,-85.78046
KFC,Iowa,41.402473,-95.027299
Wendy's,Arkansas,34.740342954,-92.276315689
Hardee's,North Carolina,35.7978,-78.4881
Long John Silver's,Virginia,36.8416,-81.50661
Arby's,Michigan,43.61208,-83.91538
Domino's Pizza,Nebraska,42.04138,-97.41227
Domino's Pizza,Nebraska,42.041381412,-97.412149697
McDonald's,New York,40.730233783,-73.954221835
Domino's Pizza,Montana,45.81531,-108.4716
Taco Bell,Mississippi,33.98012,-88.47602
Wendy's,Ohio,40.15956,-83.01987
McDonald's,California,32.915335,-117.130266
McDonald's,Georgia,32.111294,-81.236404
McDonald's,Missouri,37.60553,-93.40686
Taco John's,Illinois,37.73721,-88.93234
McDonald's,Texas,31.68468,-96.47389
Hardee's,Virginia,36.718489,-78.117308
Taco Bell,Ohio,40.561546,-84.172975
Pizza Hut,Virginia,37.6064,-77.57295
McDonald's,Kentucky,38.64331,-83.77966
McDonald's,Utah,41.49228,-112.01667
McDonald's,Indiana,41.412671,-85.746552
Hardee's,Wisconsin,44.171926,-88.484957
Taco Bell,South Dakota,44.08781,-103.19631
Schlotzsky's,Arizona,33.56806,-112.11782
Lion's Choice,Missouri,38.81072,-90.86715
Checkers,New Jersey,40.61692,-74.25161
Taco Bell,Texas,32.682897301,-97.120889425
McDonald's,Kentucky,37.13447,-85.97104
McDonald's,Missouri,37.636788,-91.535633
McDonald's,Illinois,39.8167,-89.6428
McDonald's,Ohio,39.972307,-83.099081
Burger King,Illinois,41.77516,-88.31414
Taco Bell,Washington,46.22035,-119.22468
Domino's Pizza,Illinois,41.93665,-88.77142
Dairy Queen,South Dakota,43.42242,103.46362
Subway,Missouri,37.952478,-91.752254
Bojangles,North Carolina,35.302124,-78.60114
McDonald's,Indiana,40.219023,-85.37741
Bojangles,North Carolina,35.6595,-80.462
Jack in the Box,Arizona,33.439934,-111.92605
Wendy's,Virginia,37.537308,-77.437265
Taco Bell,Arkansas,34.755894,-92.258148
Burger King,Pennsylvania,40.914436,-77.761727
Dairy Queen,Nebraska,40.265845,-96.742699
Seaside Eatery,New Jersey,39.943445,-74.070475
Hardee's,West Virginia,37.2648,-81.2357
McDonald's,Texas,30.313144762,-95.468640025
Jimmy John's,South Dakota,45.4592,-98.47422
Culver's,South Dakota,44.933737,-97.099966
Hardee's,North Dakota,46.899914,-98.708014
TacoTime,Washington,47.68137,-117.28331
Subway,Alaska,61.1389389,-149.951375
White Castle,Ohio,39.2921,-84.31293
Jack in the Box,California,35.4684,-120.654
McDonald's,Pennsylvania,41.224864,-75.877937
McDonald's,Ohio,40.9884,-80.6352
Arby's,Nebraska,40.1984,-100.6388
Burger King,Colorado,39.652861,-104.998608
McDonald's,North Carolina,35.74449,-78.82144
Taco Bell,Michigan,47.11312,-88.58677
Hub City Express,Illinois,41.93549,-89.0322
Jack in the Box,California,37.655151,-120.957485
McDonald's,North Carolina,34.76063,-77.4143
McDonald's,Kentucky,37.22813,-87.16726
Wendy's,Ohio,39.21338,-83.60817
Arby's,Arkansas,34.57152,-92.58344
Taco Bell,Indiana,38.293270577,-85.904818789
Domino's Pizza,Arkansas,36.25339,-93.12161
Bojangles,Virginia,37.273445,-79.88837
McDonald's,Ohio,40.98792,-80.63602
Taco Bell,Texas,31.3279,-95.4402
McDonald's,Texas,30.263111,-103.65409
Sonic Drive in,Oklahoma,35.623339,-95.961619
Jack in the Box,Texas,29.736231,-94.977195
SONIC Drive In,Texas,33.3665,-97.1769
Quiznos,Alabama,34.71169,-86.587452
Burger King,New Jersey,40.85133,-74.300796
Taco Bell,New York,40.73462,-73.87094
Old Country Buffet,Massachusetts,42.15523,-71.20403
McDonald's,Ohio,41.648817,-83.52379
Wendy's,Connecticut,41.738328,-72.667099
Arby's,Delaware,38.455046,-75.233924
Five Guys,Massachusetts,42.1499,-71.50204
KFC,Illinois,39.17805,-89.67558
McDonald's,Pennsylvania,40.2178,-79.6105
Waffle House,South Carolina,32.9764,-80.0663
Einstein Bros Bagels,Arizona,33.366531461,-111.755798042
Taco Bell,Kentucky,37.092814,-85.303582
Checkers,Florida,29.222,-81.0489
Taco Bell,California,33.802781,-117.976029
McDonald's,Ohio,39.29211,-84.31342
Subway,California,32.786095,-117.00397
McDonald's,North Carolina,36.20624,-81.67109
Arby's,Ohio,39.292244,-84.314204
Arby's,Indiana,39.0857,-84.8798
Jimmy John's,Texas,32.41269,-96.84213
Domino's Pizza,Utah,40.588234,-111.872223
McDonald's,Texas,29.9013,-95.5518
McDonald's,Florida,28.2353,-82.6665
McDonald's,Virginia,38.46846,-77.45994
McDonald's,Washington,48.07752,-122.18676
McDonald's,Washington,48.097296,-122.188551
Cherry Hill Drive In Ice Cream,Pennsylvania,41.91086,-80.44732
Raising Cane's Chicken Fingers,Texas,29.4441,-98.66146
Burger King,Louisiana,30.454054,-91.091483
SONIC Drive In,Missouri,38.98351,-90.97066
Jack in the Box,Oregon,45.46144,-122.70624
McDonald's,Ohio,39.222856,-84.440622
Jimmy John's,Wisconsin,42.88232,-87.91316
McDonald's,Florida,27.8399,-82.7628
McDonald's,Alabama,33.64677,-86.8234
McDonald's,Connecticut,41.82908,-72.49615
Hot Dog Heaven,Nevada,36.038412105,-114.983409376
Pizza Hut,Alaska,64.84024,-147.71043
KFC,California,32.83829,-116.98388
Penn Station East Coast Subs,Ohio,39.232649,-84.590518
Burger King,California,39.92724,-122.197914
Burger King,California,39.92716,-122.197586
McDonald's,Florida,26.1554,-81.6882
Carl's Jr.,California,36.864745,-119.738827
Domino's Pizza,Utah,40.04483,-111.71787
Domino's Pizza,Utah,40.044506,-111.717804
McDonald's,California,32.808077,-116.973148
Pizza Hut,South Dakota,43.376564,-99.845445
White Castle,Ohio,39.2221,-84.4417
Hardee's,Illinois,38.615170155,-90.044693267
McDonald's,Georgia,33.42853,-84.179288
Wendy's,Illinois,41.93507,-89.03496
Domino's Pizza,Indiana,39.34891,-85.97841
Sonic,Texas,29.820624,-94.899152
Subway,Florida,28.4937,-81.5065
Subway,Maryland,39.39949,-76.54222
McDonald's,Indiana,40.94137,-87.21633
Dairy Freeze,Maryland,38.70374,-76.53324
Wendy's,Kentucky,38.96591,-84.67671
Checkers,Georgia,34.79093,-84.99719
Burger King,Massachusetts,41.731396427,-71.171567444
