State,Obesity_index,fast_food_density,Obesity_index_aug,fast_food_density_aug
North California,27.920524917718282,0.8785487615157735,,
North California,23.993863324996635,0.45867751693836056,,
North California,22.471220312999815,0.9368092808390974,,
New Dakota,33.8088313879953,0.46177943066720695,,
South Texas,32.1088809134562,0.19069645240494193,,
South Texas,22.58620173429118,0.9833806290244311,,
New Dakota,29.849553925564237,0.49076984711442284,,
West Florida,30.61364862154837,0.2482422960934627,,
New Dakota,33.660576054207596,0.8819982381160291,,
New Dakota,22.266574433045474,0.10018536384334764,,
West Florida,27.832329337475954,0.5761272245747738,,
West Florida,25.468376793807195,0.16332369626254817,,
New Dakota,25.610293366867165,0.4686591540815944,,
New Dakota,22.2402632064227,0.9097475109255679,,
South Texas,27.48552141135339,0.9293054393584632,,
New Dakota,22.10927136772241,0.07968024874191426,,
West Florida,28.298266893698806,0.6796283705421657,,
South Texas,25.06247774815539,0.8675416153799442,,
West Florida,34.45476446380098,0.04270649337397103,,
New Dakota,25.331835685650333,0.3670854613463692,,
West Florida,25.144107254621108,0.45118774047335364,,
New Dakota,21.828613869448496,0.04785580424392566,,
North California,29.81641549471741,0.5626100591960186,,
